concept_id,concept_name,domain_id,vocabulary_id,standard_concept
4163292,Tetralogy of Fallot with absent pulmonary valve,Condition,SNOMED,standard
4175807,Rheumatic disease of tricuspid valve,Condition,SNOMED,standard
4176099,Tricuspid valve stenosis,Condition,SNOMED,standard
4178551,Paraprosthetic pulmonary regurgitation,Condition,SNOMED,standard
4178585,Rheumatic pulmonary valve failure,Condition,SNOMED,standard
4181949,Rheumatic aortic valve sclerosis,Condition,SNOMED,standard
4182110,Rheumatic heart valve regurgitation,Condition,SNOMED,standard
4182346,Paraprosthetic tricuspid regurgitation,Condition,SNOMED,standard
4184497,Rheumatic left ventricular failure,Condition,SNOMED,standard
4184499,Congenital anomaly of tricuspid valve,Condition,SNOMED,standard
4188554,Acute mitral regurgitation,Condition,SNOMED,standard
4189343,Aortic valve stenosis,Condition,SNOMED,standard
4189522,Syphilitic aortic incompetence,Condition,SNOMED,standard
4195003,Heart valve stenosis,Condition,SNOMED,standard
4195677,Rheumatic tricuspid valve regurgitation,Condition,SNOMED,standard
4199318,Congenital supravalvular pulmonary stenosis,Condition,SNOMED,standard
4207052,Congenital subaortic stenosis of tunnel type,Condition,SNOMED,standard
4209011,Pulmonic valve stenosis,Condition,SNOMED,standard
4213311,Implantation of tricuspid valve prosthesis or synthetic device,Procedure,SNOMED,standard
4215619,Rheumatic mitral valve stenosis AND aortic valve insufficiency,Condition,SNOMED,standard
4216144,Congenital supravalvular mitral stenosis,Condition,SNOMED,standard
4219047,Syphilitic aortic stenosis,Condition,SNOMED,standard
4221806,Rheumatic mitral valve failure,Condition,SNOMED,standard
4222174,Rheumatic disease of mitral valve,Condition,SNOMED,standard
4224817,Aortic valve prosthesis,Device,SNOMED,standard
4225090,Acute rheumatic valvulitis,Condition,SNOMED,standard
4230774,Heart valve regurgitation,Condition,SNOMED,standard
4231324,Congenital muscular subaortic stenosis,Condition,SNOMED,standard
4237202,Pulmonic valve regurgitation,Condition,SNOMED,standard
4238914,Rheumatic pulmonary valve stenosis,Condition,SNOMED,standard
4240289,Rheumatic heart valve failure,Condition,SNOMED,standard
4244437,Rheumatic mitral AND aortic valve regurgitation,Condition,SNOMED,standard
4245104,Combined valvular-subvalvular pulmonic stenosis,Condition,SNOMED,standard
4246657,Dynamic subaortic stenosis,Condition,SNOMED,standard
4246951,Congenital stenosis of aortic arch,Condition,SNOMED,standard
4252872,Mitral valve prolapse,Condition,SNOMED,standard
4259295,Rheumatic mitral valve and aortic valve stenosis,Condition,SNOMED,standard
4263510,Congenital stenosis of tricuspid valve,Condition,SNOMED,standard
4266019,Acute respiratory failure requiring reintubation,Condition,SNOMED,standard
4267710,"Correction of tetralogy of Fallot, one-stage",Procedure,SNOMED,standard
4269199,Congenital atresia of tricuspid valve,Condition,SNOMED,standard
4281749,Heart valve disorder,Condition,SNOMED,standard
4289152,Congenital absence of pulmonary valve,Condition,SNOMED,standard
4298008,Café-au-lait macules with pulmonary stenosis,Condition,SNOMED,standard
4298105,Implantation of mitral valve prosthesis or synthetic device,Procedure,SNOMED,standard
4301373,Rheumatic mitral stenosis with regurgitation,Condition,SNOMED,standard
4304541,Rheumatic mitral valve insufficiency and aortic valve stenosis,Condition,SNOMED,standard
4305961,Congenital insufficiency of tricuspid valve,Condition,SNOMED,standard
4306131,MacCallum's patch,Condition,SNOMED,standard
4308136,Complete repair of tetralogy of Fallot with transannular patch,Procedure,SNOMED,standard
4309540,Pulmonary valve prosthesis,Device,SNOMED,standard
4312621,Rheumatic pulmonary valve stenosis with insufficiency,Condition,SNOMED,standard
4313828,Rheumatic mitral stenosis,Condition,SNOMED,standard
4317288,Pulmonary artery stenosis,Condition,SNOMED,standard
4324704,Congenital supravalvular aortic stenosis,Condition,SNOMED,standard
4337282,Congenital subaortic stenosis due to fibromuscular shelf,Condition,SNOMED,standard
4339544,Rheumatic tricuspid valve stenosis,Condition,SNOMED,standard
4353740,Paraprosthetic aortic regurgitation,Condition,SNOMED,standard
4353822,Prosthetic mitral valve regurgitation,Condition,SNOMED,standard
4354052,Right ventricular muscular infundibular stenosis,Condition,SNOMED,standard
4354063,Prosthetic aortic valve regurgitation,Condition,SNOMED,standard
4354070,Pulmonary valve stenosis with doming,Condition,SNOMED,standard
4354071,Pulmonary valve stenosis with narrow jet,Condition,SNOMED,standard
4354085,Multiple peripheral pulmonary artery stenoses,Condition,SNOMED,standard
35607996,Retinal arterial macroaneurysm with supravalvular pulmonic stenosis,Condition,SNOMED,standard
35622773,Laubry Pezzi syndrome,Condition,SNOMED,standard
35624311,"Pulmonary valve agenesis, tetralogy of Fallot, absence of ductus arteriosus syndrome",Condition,SNOMED,standard
36674972,Macrothrombocytopenia with mitral valve insufficiency,Condition,SNOMED,standard
36684984,Mixed aortic valve disease,Condition,SNOMED,standard
36716978,Acute on chronic hypercapnic respiratory failure,Condition,SNOMED,standard
37109597,Fallot complex with intellectual disability and growth delay syndrome,Condition,SNOMED,standard
37110120,Keutel syndrome,Condition,SNOMED,standard
37160925,Postoperative stenosis of pulmonary vein,Condition,SNOMED,standard
37163270,Thromboembolism from prosthetic heart valve,Condition,SNOMED,standard
37163275,Periprosthetic aortic valve regurgitation,Condition,SNOMED,standard
37204437,Subaortic stenosis and short stature syndrome,Condition,SNOMED,standard
37205075,"Pulmonary valve agenesis, intact ventricular septum, persistent ductus arteriosus syndrome",Condition,SNOMED,standard
40486627,Stenosis of right pulmonary artery,Condition,SNOMED,standard
40487158,Diffuse stenosis of left pulmonary artery,Condition,SNOMED,standard
40487183,Atrioventricular septal defect with atrioventricular valve regurgitation through left septal commissure,Condition,SNOMED,standard
40487184,Atrioventricular septal defect with atrioventricular valve regurgitation through left superior bridging leaflet lateral mural commissure,Condition,SNOMED,standard
40487186,Atrioventricular septal defect with atrioventricular valve regurgitation through left inferior bridging leaflet lateral mural commissure,Condition,SNOMED,standard
40487195,Diffuse stenosis of right pulmonary artery,Condition,SNOMED,standard
40487550,Atrioventricular septal defect associated with tetralogy of Fallot,Condition,SNOMED,standard
40487572,Supravalvar pulmonary trunk stenosis,Condition,SNOMED,standard
40487600,Atrioventricular septal defect with atrioventricular valve regurgitation through right septal commissure,Condition,SNOMED,standard
40487652,Atrioventricular septal defect with atrioventricular valve regurgitation through right anterosuperior inferior mural commissure,Condition,SNOMED,standard
40487653,Atrioventricular septal defect with atrioventricular valve regurgitation through right anterosuperior superior bridging leaflet commissure,Condition,SNOMED,standard
40487654,Atrioventricular septal defect with atrioventricular valve regurgitation through right inferior bridging leaflet inferior mural commissure,Condition,SNOMED,standard
40487668,Single stenosis of left pulmonary artery,Condition,SNOMED,standard
40487966,Shelf-like supravalvar aortic stenosis,Condition,SNOMED,standard
40487980,Ebstein's anomaly with functional tricuspid stenosis,Condition,SNOMED,standard
40488014,Localized supravalvar aortic stenosis at sinutubular junction,Condition,SNOMED,standard
